y,x
+5.6400E-03,-369.9121E-03
+5.6500E-03,-369.9121E-03
+5.6600E-03,-369.9121E-03
+5.6700E-03,-377.9523E-03
+5.6800E-03,-377.9523E-03
+5.6900E-03,-376.6960E-03
+5.7000E-03,-377.1985E-03
+5.7100E-03,-380.7161E-03
+5.7200E-03,-385.9925E-03
+5.7300E-03,-385.9925E-03
+5.7400E-03,-385.9925E-03
+5.7500E-03,-388.7563E-03
+5.7600E-03,-394.0327E-03
+5.7700E-03,-394.0327E-03
+5.7800E-03,-402.0729E-03
+5.7900E-03,-402.0729E-03
+5.8000E-03,-397.2990E-03
+5.8100E-03,-408.8568E-03
+5.8200E-03,-395.5402E-03
+5.8300E-03,-402.0729E-03
+5.8400E-03,-410.1131E-03
+5.8500E-03,-402.0729E-03
+5.8600E-03,-410.1131E-03
+5.8700E-03,-418.1533E-03
+5.8800E-03,-414.8869E-03
+5.8900E-03,-418.1533E-03
+5.9000E-03,-411.6206E-03
+5.9100E-03,-423.4296E-03
+5.9200E-03,-426.1935E-03
+5.9300E-03,-419.4095E-03
+5.9400E-03,-418.9070E-03
+5.9500E-03,-426.1935E-03
+5.9600E-03,-430.9673E-03
+5.9700E-03,-434.2337E-03
+5.9800E-03,-426.1935E-03
+5.9900E-03,-434.2337E-03
+6.0000E-03,-430.9673E-03
+6.0100E-03,-441.0176E-03
+6.0200E-03,-434.2337E-03
+6.0300E-03,-434.2337E-03
+6.0400E-03,-434.2337E-03
+6.0500E-03,-442.2739E-03
+6.0600E-03,-441.5201E-03
+6.0700E-03,-442.2739E-03
+6.0800E-03,-450.3141E-03
+6.0900E-03,-449.0578E-03
+6.1000E-03,-442.2739E-03
+6.1100E-03,-447.5502E-03
+6.1200E-03,-450.3141E-03
+6.1300E-03,-450.3141E-03
+6.1400E-03,-450.3141E-03
+6.1500E-03,-450.3141E-03
+6.1600E-03,-450.3141E-03
+6.1700E-03,-443.5301E-03
+6.1800E-03,-458.3543E-03
+6.1900E-03,-450.3141E-03
+6.2000E-03,-455.0879E-03
+6.2100E-03,-451.5703E-03
+6.2200E-03,-451.0678E-03
+6.2300E-03,-453.0779E-03
+6.2400E-03,-458.3543E-03
+6.2500E-03,-458.3543E-03
+6.2600E-03,-451.8216E-03
+6.2700E-03,-458.3543E-03
+6.2800E-03,-458.3543E-03
+6.2900E-03,-458.3543E-03
+6.3000E-03,-465.6407E-03
+6.3100E-03,-461.1181E-03
+6.3200E-03,-463.1281E-03
+6.3300E-03,-459.6105E-03
+6.3400E-03,-466.3945E-03
+6.3500E-03,-461.1181E-03
+6.3600E-03,-466.3945E-03
+6.3700E-03,-466.3945E-03
+6.3800E-03,-472.9271E-03
+6.3900E-03,-466.3945E-03
+6.4000E-03,-466.3945E-03
+6.4100E-03,-466.3945E-03
+6.4200E-03,-473.6809E-03
+6.4300E-03,-466.3945E-03
+6.4400E-03,-471.1683E-03
+6.4500E-03,-473.1784E-03
+6.4600E-03,-474.4347E-03
+6.4700E-03,-474.4347E-03
+6.4800E-03,-469.6608E-03
+6.4900E-03,-466.3945E-03
+6.5000E-03,-467.1482E-03
+6.5100E-03,-471.6709E-03
+6.5200E-03,-474.4347E-03
+6.5300E-03,-473.1784E-03
+6.5400E-03,-474.4347E-03
+6.5500E-03,-479.7111E-03
+6.5600E-03,-474.4347E-03
+6.5700E-03,-481.2186E-03
+6.5800E-03,-467.9020E-03
+6.5900E-03,-474.4347E-03
+6.6000E-03,-474.4347E-03
+6.6100E-03,-475.6910E-03
+6.6200E-03,-481.7211E-03
+6.6300E-03,-482.4749E-03
